Date,Open-Stock-3,Close-Stock-3,High-Stock-3,Low-Stock-3,VWAP-Stock-3,Turnover-Stock-3,Volume-Stock-3,OC3,HL3
2010-06-01,2095.0,2077.25,2097.8,2045.0,2088.95,14736933230000,70547,17.75,52.80000000000018
2010-06-02,2061.45,2079.85,2098.0,2023.0,2059.52,11440017990000,55547,-18.40000000000009,75.0
2010-06-03,2131.5,2114.9,2131.5,2091.05,2107.84,11620529360000,55130,16.59999999999991,40.44999999999982
2010-06-04,2114.9,2146.75,2156.0,2095.5,2145.36,6286330280000,29302,-31.84999999999991,60.5
2010-06-07,2132.35,2185.25,2209.0,2112.0,2180.52,17208425860000,78919,-52.90000000000009,97.0
2010-06-08,2189.0,2238.0,2244.0,2189.0,2223.1,10670210390000,47997,-49.0,55.0
2010-06-09,2238.0,2283.7,2294.0,2227.0,2264.34,20373174100000,89974,-45.69999999999982,67.0
2010-06-10,2298.0,2311.55,2327.0,2265.0,2290.22,7434294295000,32461,-13.550000000000182,62.0
2010-06-11,2311.0,2291.7,2321.0,2276.0,2289.11,7780463100000,33989,19.300000000000182,45.0
2010-06-14,2311.0,2296.25,2314.75,2280.05,2294.65,20062342475000,87431,14.75,34.69999999999982
2010-06-15,2292.0,2294.7,2319.0,2285.0,2302.86,3588769830000,15584,-2.699999999999818,34.0
2010-06-16,2306.0,2317.65,2338.0,2294.0,2311.56,5349416390000,23142,-11.650000000000091,44.0
2010-06-17,2335.0,2368.35,2398.0,2305.0,2372.43,17857054615000,75269,-33.34999999999991,93.0
2010-06-18,2368.0,2383.75,2398.0,2342.0,2372.04,7744481850000,32649,-15.75,56.0
2010-06-21,2389.0,2429.65,2457.0,2380.0,2426.33,11820341525000,48717,-40.65000000000009,77.0
2010-06-22,2405.05,2370.7,2442.0,2360.25,2384.93,15589541920000,65367,34.350000000000364,81.75
2010-06-23,2372.0,2408.75,2423.5,2360.0,2401.69,18672695095000,77748,-36.75,63.5
2010-06-24,2415.0,2459.95,2468.8,2414.5,2445.74,10732896730000,43884,-44.94999999999982,54.30000000000018
2010-06-25,2439.0,2399.45,2454.9,2383.9,2406.55,52471658600000,218037,39.55000000000018,71.0
2010-06-28,2402.0,2366.05,2402.0,2357.0,2370.61,10874703865000,45873,35.94999999999982,45.0
2010-06-29,2366.05,2360.55,2400.0,2342.0,2381.69,16345046020000,68628,5.5,58.0
2010-06-30,2370.0,2301.8,2388.0,2295.05,2308.7,16710400325000,72380,68.19999999999982,92.94999999999982
2010-07-01,2329.95,2329.75,2338.0,2275.3,2313.45,10760107125000,46511,0.1999999999998181,62.69999999999982
2010-07-02,2339.95,2320.8,2357.8,2312.0,2341.9,6895488790000,29444,19.149999999999636,45.80000000000018
2010-07-05,2330.0,2329.55,2349.7,2317.0,2338.08,2434412745000,10412,0.4499999999998181,32.69999999999982
2010-07-06,2330.0,2345.2,2352.0,2325.55,2344.55,4529663315000,19320,-15.199999999999818,26.449999999999818
2010-07-07,2345.2,2336.75,2364.0,2321.2,2344.45,8903998435000,37979,8.449999999999818,42.80000000000018
2010-07-08,2345.25,2350.4,2360.0,2333.0,2349.59,18460468405000,78569,-5.150000000000091,27.0
2010-07-09,2360.0,2384.25,2398.0,2340.0,2360.5,45050299470000,190851,-24.25,58.0
2010-07-12,2379.0,2359.5,2420.0,2345.0,2396.64,60198583735000,251179,19.5,75.0
2010-07-13,2372.0,2369.7,2405.0,2360.0,2370.81,46149329055000,194656,2.300000000000182,45.0
2010-07-14,2375.55,2415.0,2425.0,2302.7,2408.05,19159369630000,79564,-39.44999999999982,122.30000000000018
2010-07-15,2418.0,2440.15,2457.8,2407.85,2436.77,32791065480000,134568,-22.15000000000009,49.95000000000027
2010-07-16,2448.5,2474.0,2560.0,2441.5,2461.84,34893065205000,141736,-25.5,118.5
2010-07-19,2485.15,2474.05,2485.15,2430.0,2466.07,2844117975000,11533,11.099999999999909,55.15000000000009
2010-07-20,2475.0,2478.7,2484.1,2450.0,2470.29,4828183970000,19545,-3.699999999999818,34.09999999999991
2010-07-21,2475.0,2479.55,2500.0,2459.0,2480.06,157969658725000,636958,-4.550000000000182,41.0
2010-07-22,2478.0,2521.9,2528.9,2445.0,2498.38,6507028510000,26045,-43.90000000000009,83.90000000000009
2010-07-23,2521.9,2520.55,2548.0,2510.0,2532.61,11718156255000,46269,1.349999999999909,38.0
2010-07-26,2517.0,2524.2,2544.0,2516.0,2528.27,36515993000000,144431,-7.199999999999818,28.0
2010-07-27,2535.15,2438.35,2548.0,2420.25,2450.51,14614852555000,59640,96.80000000000018,127.75
2010-07-28,2460.0,2586.15,2609.0,2460.0,2546.67,32761429540000,128644,-126.15000000000009,149.0
2010-07-29,2586.15,2613.8,2704.0,2580.0,2655.01,44480365585000,167534,-27.65000000000009,124.0
2010-07-30,2621.95,2603.35,2678.85,2575.0,2626.48,13503531355000,51413,18.59999999999991,103.84999999999991
2010-08-02,2606.0,2623.35,2639.0,2590.85,2622.52,6603505715000,25180,-17.34999999999991,48.15000000000009
2010-08-03,2623.1,2598.25,2669.95,2592.1,2604.52,5405933660000,20756,24.84999999999991,77.84999999999991
2010-08-04,2629.95,2591.95,2629.95,2580.1,2594.22,5540474815000,21357,38.0,49.84999999999991
2010-08-05,2592.0,2600.8,2662.0,2592.0,2621.3,48191622995000,183846,-8.800000000000182,70.0
2010-08-06,2608.0,2607.15,2638.9,2596.0,2621.77,6457679620000,24631,0.849999999999909,42.90000000000009
2010-08-09,2648.0,2661.7,2680.0,2613.0,2653.2,16502923010000,62200,-13.699999999999818,67.0
2010-08-10,2670.0,2666.95,2682.95,2630.0,2663.47,9564252515000,35909,3.050000000000182,52.94999999999982
2010-08-11,2666.95,2680.55,2710.0,2660.0,2689.29,7336658365000,27281,-13.600000000000364,50.0
2010-08-12,2674.95,2675.9,2695.0,2627.6,2655.35,7485704195000,28191,-0.9500000000002728,67.40000000000009
2010-08-13,2680.0,2654.55,2710.0,2645.2,2675.97,5438101375000,20322,25.449999999999818,64.80000000000018
2010-08-16,2650.0,2641.05,2684.0,2633.0,2653.24,2339094030000,8816,8.949999999999818,51.0
2010-08-17,2671.0,2631.1,2678.0,2605.0,2606.84,121694512540000,466828,39.90000000000009,73.0
2010-08-18,2615.0,2651.1,2685.0,2615.0,2661.18,5709305340000,21454,-36.09999999999991,70.0
2010-08-19,2651.1,2704.1,2827.3,2651.1,2750.03,36039660095000,131052,-53.0,176.20000000000027
2010-08-20,2749.0,2767.3,2818.95,2702.0,2776.35,29195838310000,105159,-18.300000000000182,116.94999999999982
2010-08-23,2778.0,2758.35,2818.0,2750.1,2775.5,8855231600000,31905,19.65000000000009,67.90000000000009
2010-08-24,2762.0,2769.2,2809.9,2725.0,2778.91,41134820410000,148025,-7.199999999999818,84.90000000000009
